Station name;Parameter section;Parameter name;Value;Min Value;Max Value
ST 4 - PARTICLE;RecipeAdvancedParameter;Tracking frames number backward;2;3;1
ST 4 - PARTICLE;RecipeAdvancedParameter;Tracking frame backward reduction;25;1000;0
ST 4 - PARTICLE;RecipeAdvancedParameter;Trajectories buffer size;1000000;1000000;0
ST 4 - PARTICLE;RecipeAdvancedParameter;Trajectory all segments max length;0;2048;0
ST 4 - PARTICLE;RecipeAdvancedParameter;Trajectory all segments min length;0;2048;0
ST 4 - PARTICLE;RecipeAdvancedParameter;Trajectory recurrent backward num;10;1000;0
ST 4 - PARTICLE;RecipeAdvancedParameter;Trajectory recurrent max angle;15;180;0
ST 4 - PARTICLE;RecipeAdvancedParameter;Trajectory recurrent max distance;20;1000;0
ST 4 - PARTICLE;RecipeAdvancedParameter;Trajectory recurrent min count;2;1000;0
ST 4 - PARTICLE;RecipeAdvancedParameter;Trajectory recurrent min length;3;1000;0
ST 4 - PARTICLE;RecipeAdvancedParameter;Masking blobs high threshold;10;100;0
ST 4 - PARTICLE;RecipeAdvancedParameter;Masking blobs low threshold;5;100;0
ST 4 - PARTICLE;RecipeAdvancedParameter;Min density reference;0;255;0
ST 4 - PARTICLE;RecipeAdvancedParameter;Encoder counter first image;380;10000;0
ST 4 - PARTICLE;StroboParameter;Strobe operating mode;Pulsed;;
ST 4 - PARTICLE;StroboParameter;Strobe current [A];3.501;20;0
ST 4 - PARTICLE;StroboParameter;Strobe pulse delay;0.002;1000;0
ST 4 - PARTICLE;StroboParameter;Strobe pulse width [ms];0.2;1000;0
ST 4 - PARTICLE;StroboParameter;Strobe retrigger time [ms];2;1000;0
ST 4 - PARTICLE;StroboParameter;Strobe continuous max current [A];0.5;20;0
ST 4 - PARTICLE;StroboParameter;Strobe pulsed max current [A];4;20;0
ST 4 - PARTICLE;ROIParameter;ROI ID;0;1;0
ST 4 - PARTICLE;ROIParameter;ROI type;0;10;0
ST 4 - PARTICLE;ROIParameter;ROI X 1;280;2048;0
ST 4 - PARTICLE;ROIParameter;ROI X 2;600;2048;0
ST 4 - PARTICLE;ROIParameter;ROI Y 1;880;2048;0
ST 4 - PARTICLE;ROIParameter;ROI Y 2;1970;2048;0
ST 4 - PARTICLE;ROIParameter;ROI color;250;255;0
ST 4 - PARTICLE;ROIParameter;ROI fill color;0;1;0
ST 4 - PARTICLE;ROIParameter;Enable ROI plot;1;1;0
ST 4 - PARTICLE;ROIParameter;ROI ID;1;1;0
ST 4 - PARTICLE;ROIParameter;ROI type;0;10;0
ST 4 - PARTICLE;ROIParameter;ROI X 1;360;2048;0
ST 4 - PARTICLE;ROIParameter;ROI X 2;530;2048;0
ST 4 - PARTICLE;ROIParameter;ROI Y 1;1200;2048;0
ST 4 - PARTICLE;ROIParameter;ROI Y 2;1800;2048;0
ST 4 - PARTICLE;ROIParameter;ROI color;255;255;0
ST 4 - PARTICLE;ROIParameter;ROI fill color;0;1;0
ST 4 - PARTICLE;ROIParameter;Enable ROI plot;0;1;0
